Comunidades y Ciudades Autónomas;Periodo;Total
10 Comunitat Valenciana;2010;5.111.706
10 Comunitat Valenciana;2009;5.094.675
10 Comunitat Valenciana;2008;5.029.601
10 Comunitat Valenciana;2007;4.885.029
10 Comunitat Valenciana;2006;4.806.908
10 Comunitat Valenciana;2005;4.692.449
10 Comunitat Valenciana;2004;4.543.304
10 Comunitat Valenciana;2003;4.470.885
10 Comunitat Valenciana;2002;4.326.708
10 Comunitat Valenciana;2001;4.202.608
10 Comunitat Valenciana;2000;4.120.729
11 Extremadura;2021;1.059.501
11 Extremadura;2020;1.063.987
11 Extremadura;2019;1.067.710
11 Extremadura;2018;1.072.863
11 Extremadura;2017;1.079.920
11 Extremadura;2016;1.087.778
11 Extremadura;2015;1.092.997
11 Extremadura;2014;1.099.632
11 Extremadura;2013;1.104.004
11 Extremadura;2012;1.108.130
11 Extremadura;2011;1.109.367
11 Extremadura;2010;1.107.220
11 Extremadura;2009;1.102.410
11 Extremadura;2008;1.097.744
11 Extremadura;2007;1.089.990
11 Extremadura;2006;1.086.373
11 Extremadura;2005;1.083.879
11 Extremadura;2004;1.075.286
11 Extremadura;2003;1.073.904
11 Extremadura;2002;1.073.050
11 Extremadura;2001;1.073.381
11 Extremadura;2000;1.069.420
12 Galicia;2021;2.695.645
12 Galicia;2020;2.701.819
12 Galicia;2019;2.699.499
12 Galicia;2018;2.701.743
12 Galicia;2017;2.708.339
12 Galicia;2016;2.718.525
12 Galicia;2015;2.732.347
12 Galicia;2014;2.748.695
12 Galicia;2013;2.765.940
12 Galicia;2012;2.781.498
12 Galicia;2011;2.795.422
12 Galicia;2010;2.797.653
12 Galicia;2009;2.796.089
12 Galicia;2008;2.784.169
12 Galicia;2007;2.772.533
12 Galicia;2006;2.767.524
12 Galicia;2005;2.762.198
12 Galicia;2004;2.750.985
12 Galicia;2003;2.751.094
12 Galicia;2002;2.737.370
12 Galicia;2001;2.732.926
12 Galicia;2000;2.731.900
13 Madrid, Comunidad de;2021;6.751.251
13 Madrid, Comunidad de;2020;6.779.888
13 Madrid, Comunidad de;2019;6.663.394
13 Madrid, Comunidad de;2018;6.578.079
13 Madrid, Comunidad de;2017;6.507.184
13 Madrid, Comunidad de;2016;6.466.996
13 Madrid, Comunidad de;2015;6.436.996
13 Madrid, Comunidad de;2014;6.454.440
13 Madrid, Comunidad de;2013;6.495.551
13 Madrid, Comunidad de;2012;6.498.560
13 Madrid, Comunidad de;2011;6.489.680
13 Madrid, Comunidad de;2010;6.458.684
13 Madrid, Comunidad de;2009;6.386.932
13 Madrid, Comunidad de;2008;6.271.638
13 Madrid, Comunidad de;2007;6.081.689
13 Madrid, Comunidad de;2006;6.008.183
13 Madrid, Comunidad de;2005;5.964.143
13 Madrid, Comunidad de;2004;5.804.829
13 Madrid, Comunidad de;2003;5.718.942
13 Madrid, Comunidad de;2002;5.527.152
13 Madrid, Comunidad de;2001;5.372.433
13 Madrid, Comunidad de;2000;5.205.408
14 Murcia, Región de;2021;1.518.486
14 Murcia, Región de;2020;1.511.251
14 Murcia, Región de;2019;1.493.898
14 Murcia, Región de;2018;1.478.509
14 Murcia, Región de;2017;1.470.273
14 Murcia, Región de;2016;1.464.847
14 Murcia, Región de;2015;1.467.288
14 Murcia, Región de;2014;1.466.818
14 Murcia, Región de;2013;1.472.049
14 Murcia, Región de;2012;1.474.449
14 Murcia, Región de;2011;1.470.069
14 Murcia, Región de;2010;1.461.979
14 Murcia, Región de;2009;1.446.520
14 Murcia, Región de;2008;1.426.109
14 Murcia, Región de;2007;1.392.117
14 Murcia, Región de;2006;1.370.306
14 Murcia, Región de;2005;1.335.792
14 Murcia, Región de;2004;1.294.694
14 Murcia, Región de;2003;1.269.230
14 Murcia, Región de;2002;1.226.993
14 Murcia, Región de;2001;1.190.378
14 Murcia, Región de;2000;1.149.328
15 Navarra, Comunidad Foral de;2021;661.537
15 Navarra, Comunidad Foral de;2020;661.197
15 Navarra, Comunidad Foral de;2019;654.214
15 Navarra, Comunidad Foral de;2018;647.554
15 Navarra, Comunidad Foral de;2017;643.234
15 Navarra, Comunidad Foral de;2016;640.647
15 Navarra, Comunidad Foral de;2015;640.476
15 Navarra, Comunidad Foral de;2014;640.790
15 Navarra, Comunidad Foral de;2013;644.477
15 Navarra, Comunidad Foral de;2012;644.566
15 Navarra, Comunidad Foral de;2011;642.051
15 Navarra, Comunidad Foral de;2010;636.924
15 Navarra, Comunidad Foral de;2009;630.578
15 Navarra, Comunidad Foral de;2008;620.377
15 Navarra, Comunidad Foral de;2007;605.876
15 Navarra, Comunidad Foral de;2006;601.874
15 Navarra, Comunidad Foral de;2005;593.472
15 Navarra, Comunidad Foral de;2004;584.734
15 Navarra, Comunidad Foral de;2003;578.210
15 Navarra, Comunidad Foral de;2002;569.628
15 Navarra, Comunidad Foral de;2001;556.263
15 Navarra, Comunidad Foral de;2000;543.757
16 País Vasco;2021;2.213.993
16 País Vasco;2020;2.220.504
16 País Vasco;2019;2.207.776
16 País Vasco;2018;2.199.088
16 País Vasco;2017;2.194.158
16 País Vasco;2016;2.189.534
16 País Vasco;2015;2.189.257
16 País Vasco;2014;2.188.985
16 País Vasco;2013;2.191.682
16 País Vasco;2012;2.193.093
16 País Vasco;2011;2.184.606
16 País Vasco;2010;2.178.339
16 País Vasco;2009;2.172.175
16 País Vasco;2008;2.157.112
16 País Vasco;2007;2.141.860
16 País Vasco;2006;2.133.684
16 País Vasco;2005;2.124.846
16 País Vasco;2004;2.115.279
16 País Vasco;2003;2.112.204
16 País Vasco;2002;2.108.281
16 País Vasco;2001;2.101.478
16 País Vasco;2000;2.098.596
17 Rioja, La;2021;319.796
17 Rioja, La;2020;319.914
17 Rioja, La;2019;316.798
17 Rioja, La;2018;315.675
17 Rioja, La;2017;315.381
17 Rioja, La;2016;315.794
17 Rioja, La;2015;317.053
17 Rioja, La;2014;319.002
17 Rioja, La;2013;322.027
17 Rioja, La;2012;323.609
17 Rioja, La;2011;322.955
17 Rioja, La;2010;322.415
17 Rioja, La;2009;321.702
17 Rioja, La;2008;317.501
17 Rioja, La;2007;308.968
17 Rioja, La;2006;306.377
17 Rioja, La;2005;301.084
17 Rioja, La;2004;293.553
17 Rioja, La;2003;287.390
17 Rioja, La;2002;281.614
17 Rioja, La;2001;270.400
17 Rioja, La;2000;264.178
18 Ceuta;2021;83.517
18 Ceuta;2020;84.202
18 Ceuta;2019;84.777
18 Ceuta;2018;85.144
18 Ceuta;2017;84.959
18 Ceuta;2016;84.519
18 Ceuta;2015;84.263
18 Ceuta;2014;84.963
18 Ceuta;2013;84.180
18 Ceuta;2012;84.018
18 Ceuta;2011;82.376
18 Ceuta;2010;80.579
18 Ceuta;2009;78.674
18 Ceuta;2008;77.389
18 Ceuta;2007;76.603
18 Ceuta;2006;75.861
18 Ceuta;2005;75.276
18 Ceuta;2004;74.654
18 Ceuta;2003;74.931
18 Ceuta;2002;76.152
18 Ceuta;2001;75.694
18 Ceuta;2000;75.241
19 Melilla;2021;86.261
19 Melilla;2020;87.076
19 Melilla;2019;86.487
19 Melilla;2018;86.384
19 Melilla;2017;86.120
19 Melilla;2016;86.026
19 Melilla;2015;85.584
19 Melilla;2014;84.509
19 Melilla;2013;83.679
19 Melilla;2012;80.802
19 Melilla;2011;78.476
19 Melilla;2010;76.034
19 Melilla;2009;73.460
19 Melilla;2008;71.448
19 Melilla;2007;69.440
19 Melilla;2006;66.871
19 Melilla;2005;65.488
19 Melilla;2004;68.016
19 Melilla;2003;68.463
19 Melilla;2002;69.184
19 Melilla;2001;68.789
19 Melilla;2000;66.263
