,Indicador,Comunidad Autónoma,Año,Valor Indicador
124,ICEA,"13 Madrid, Comunidad de",2017,128
125,ICEA,"13 Madrid, Comunidad de",2018,129
126,ICEA,"13 Madrid, Comunidad de",2019,129
127,ICEA,"13 Madrid, Comunidad de",2020,103
128,ICEA,"13 Madrid, Comunidad de",2021,116
129,ICEA,"13 Madrid, Comunidad de",2022,126
130,ICEA,"14 Murcia, Región de",2013,105
131,ICEA,"14 Murcia, Región de",2014,116
132,ICEA,"14 Murcia, Región de",2015,120
133,ICEA,"14 Murcia, Región de",2016,124
134,ICEA,"14 Murcia, Región de",2017,129
135,ICEA,"14 Murcia, Región de",2018,130
136,ICEA,"14 Murcia, Región de",2019,127
137,ICEA,"14 Murcia, Región de",2020,104
138,ICEA,"14 Murcia, Región de",2021,114
139,ICEA,"14 Murcia, Región de",2022,117
140,ICEA,"15 Navarra, Comunidad Foral de",2013,107
141,ICEA,"15 Navarra, Comunidad Foral de",2014,123
142,ICEA,"15 Navarra, Comunidad Foral de",2015,131
143,ICEA,"15 Navarra, Comunidad Foral de",2016,132
144,ICEA,"15 Navarra, Comunidad Foral de",2017,134
145,ICEA,"15 Navarra, Comunidad Foral de",2018,137
146,ICEA,"15 Navarra, Comunidad Foral de",2019,135
147,ICEA,"15 Navarra, Comunidad Foral de",2020,109
148,ICEA,"15 Navarra, Comunidad Foral de",2021,122
149,ICEA,"15 Navarra, Comunidad Foral de",2022,126
150,ICEA,16 País Vasco,2013,105
151,ICEA,16 País Vasco,2014,118
152,ICEA,16 País Vasco,2015,126
153,ICEA,16 País Vasco,2016,129
154,ICEA,16 País Vasco,2017,133
155,ICEA,16 País Vasco,2018,136
156,ICEA,16 País Vasco,2019,133
157,ICEA,16 País Vasco,2020,107
158,ICEA,16 País Vasco,2021,122
159,ICEA,16 País Vasco,2022,127
160,ICEA,"17 Rioja, La",2013,107
161,ICEA,"17 Rioja, La",2014,119
162,ICEA,"17 Rioja, La",2015,128
163,ICEA,"17 Rioja, La",2016,128
164,ICEA,"17 Rioja, La",2017,131
165,ICEA,"17 Rioja, La",2018,132
166,ICEA,"17 Rioja, La",2019,131
167,ICEA,"17 Rioja, La",2020,104
168,ICEA,"17 Rioja, La",2021,116
169,ICEA,"17 Rioja, La",2022,121
